Word	Bigram	Conc.M	Conc.SD	Unknown	Total	Percent_known	SUBTLEX	DOM_POS	POS	frequency
cameo	0	3.19	1.52	0	27	1.0	24	Noun	NN	21838
osteoporosis	0	3.19	1.57	1	28	0.96	9	Noun	NN	17396
sitter	0	3.89	1.42	0	27	1.0	80	Noun	NN	13699
decade	0	3.19	1.62	0	27	1.0	247	Noun	NN	773056
concussion	0	3.19	1.47	0	27	1.0	229	Noun	NN	15741
hostel	0	3.9	1.45	0	30	1.0	29	Noun	NN	50668
dislocation	0	3.18	1.44	1	29	0.97	15	Noun	NN	12327
weekday	0	3.18	1.47	0	28	1.0	22	Noun	NN	29925
commencement	0	3.18	1.44	1	29	0.97	15	Noun	NN	37958
overdraft	0	3.17	1.46	1	25	0.96	5	Noun	NN	16697
coupe	0	3.17	1.71	0	29	1.0	31	Noun	NN	15316
nightlife	0	3.17	1.63	0	29	1.0	28	Noun	NN	19712
conservationist	0	3.17	1.44	0	29	1.0	3	Noun	NN	11300
election	0	3.17	1.42	0	30	1.0	560	Noun	NN	857044
thing	0	3.17	1.42	0	30	1.0	55522	Noun	NN	7692232
placebo	0	3.17	1.56	0	30	1.0	37	Noun	NN	47671
ace	0	3.92	1.47	1	27	0.96	751	Noun	NN	40499
pew	0	3.92	1.52	1	27	0.96	53	Noun	NN	13564
projection	0	3.16	1.51	0	32	1.0	107	Noun	NN	119442
byproduct	0	3.16	1.43	1	26	0.96	13	Noun	NN	12742
baroness	0	3.92	1.47	3	28	0.89	134	Noun	NN	29626
anniversary	0	3.15	1.54	0	27	1.0	939	Noun	NN	188150
township	0	3.15	1.54	2	28	0.93	25	Noun	NN	31820
intercourse	0	3.93	1.46	0	29	1.0	193	Noun	NN	36747
homeowner	0	3.93	1.62	0	30	1.0	60	Noun	NN	77147
noun	0	3.15	1.61	0	27	1.0	27	Noun	NN	48133
spacing	0	3.15	1.41	1	28	0.96	28	Noun	NN	25276
budget	0	3.14	1.41	0	29	1.0	513	Noun	NN	788931
reservation	0	3.14	1.46	0	28	1.0	526	Noun	NN	149732
strategist	0	3.14	1.56	0	28	1.0	21	Noun	NN	22366
overpayment	0	3.14	1.48	0	28	1.0	2	Noun	NN	11179
damper	0	3.13	1.41	0	30	1.0	43	Noun	NN	13889
sufferer	0	3.13	1.52	1	24	0.96	4	Noun	NN	43090
breeder	0	3.13	1.46	0	30	1.0	40	Noun	NN	54129
cultivation	0	3.13	1.42	0	23	1.0	8	Noun	NN	46160
vertex	0	3.12	1.56	3	29	0.9	2	Noun	NN	14514
biologist	0	3.96	1.43	0	28	1.0	64	Noun	NN	46756
ingestion	0	3.12	1.56	0	26	1.0	15	Noun	NN	12952
pest	0	3.96	1.43	0	27	1.0	146	Noun	NN	74003
oncologist	0	3.96	1.55	3	27	0.89	44	Noun	NN	10208
convent	0	3.96	1.51	1	26	0.96	170	Noun	NN	19444
beech	0	3.96	1.55	4	27	0.85	18	Noun	NN	10892
surveillance	0	3.11	1.53	0	27	1.0	952	Noun	NN	119431
bottleneck	0	3.97	1.43	0	29	1.0	26	Noun	NN	17484
unemployment	0	3.11	1.5	0	27	1.0	160	Noun	NN	213116
ultrasound	0	3.97	1.52	0	29	1.0	125	Noun	NN	31190
geography	0	3.11	1.48	0	27	1.0	117	Noun	NN	83543
slavery	0	3.11	1.42	0	27	1.0	207	Noun	NN	117197
energy	0	3.11	1.48	0	27	1.0	1678	Noun	NN	1604938
sightseeing	0	3.11	1.58	0	27	1.0	75	Noun	NN	14449
revenue	0	3.11	1.45	0	28	1.0	122	Noun	NN	433007
remainder	0	3.11	1.59	0	28	1.0	77	Noun	NN	98448
subspecies	0	3.11	1.55	1	29	0.97	18	Noun	NN	10974
profile	0	3.1	1.5	0	29	1.0	657	Noun	NN	401055
composition	0	3.1	1.59	0	29	1.0	124	Noun	NN	213639
sir	0	3.1	1.52	0	29	1.0	49188	Noun	NN	95916
synonym	0	3.1	1.61	0	29	1.0	9	Noun	NN	19012
capacity	0	3.1	1.54	0	30	1.0	413	Noun	NN	589986
hour	0	3.1	1.42	0	30	1.0	8277	Noun	NN	2571217
binge	0	3.1	1.45	0	29	1.0	47	Noun	NN	20139
trajectory	0	3.1	1.52	0	29	1.0	94	Noun	NN	49266
dignitary	0	3.1	1.58	0	30	1.0	6	Noun	NN	11799
genus	0	3.09	1.56	4	27	0.85	15	Noun	NN	52415
omega	0	3.08	1.73	2	27	0.93	76	Noun	NN	22002
bingo	0	4.0	1.52	1	28	0.96	640	Noun	NN	24888
sediment	0	4.0	1.41	1	30	0.97	21	Noun	NN	60598
affidavit	0	4.0	1.49	0	30	1.0	100	Noun	NN	29769
recitation	0	3.08	1.44	1	26	0.96	24	Noun	NN	11432
spire	0	4.0	1.48	2	25	0.92	5	Noun	NN	13321
archaeology	0	3.08	1.61	0	25	1.0	39	Noun	NN	45937
asterisk	0	4.0	1.5	1	27	0.96	23	Noun	NN	10424
overture	0	3.08	1.53	1	26	0.96	66	Noun	NN	11737
treaty	0	3.07	1.54	0	28	1.0	239	Noun	NN	145690
income	0	3.07	1.56	0	28	1.0	378	Noun	NN	811540
hero	0	3.07	1.47	0	27	1.0	2542	Noun	NN	308771
insider	0	3.07	1.49	0	29	1.0	36	Noun	NN	59603
trial	0	3.07	1.41	0	30	1.0	2518	Noun	NN	777998
offence	0	3.07	1.41	2	29	0.93	273	Noun	NN	232857
zone	0	3.07	1.58	0	29	1.0	1026	Noun	NN	346672
notation	0	3.07	1.54	0	28	1.0	12	Noun	NN	37502
abbreviation	0	3.07	1.51	0	29	1.0	12	Noun	NN	23826
creator	0	3.07	1.51	1	29	0.97	142	Noun	NN	174710
sinner	0	3.07	1.54	0	28	1.0	126	Noun	NN	62820
semester	0	3.07	1.41	0	30	1.0	354	Noun	NN	113358
schooling	0	3.07	1.44	0	30	1.0	73	Noun	NN	46137
awakening	0	3.07	1.56	0	29	1.0	63	Noun	NN	25044
compression	0	3.07	1.44	0	28	1.0	63	Noun	NN	70596
utility	0	3.07	1.53	0	29	1.0	114	Noun	NN	241900
volume	0	3.07	1.56	1	29	0.97	354	Noun	NN	645373
arrival	0	3.07	1.44	0	30	1.0	422	Noun	NN	259624
entirety	0	3.07	1.44	1	30	0.97	24	Noun	NN	43313
anthology	0	3.07	1.41	1	30	0.97	14	Noun	NN	46681
allowance	0	3.07	1.52	0	27	1.0	265	Noun	NN	133502
disaster	0	3.07	1.44	0	29	1.0	881	Noun	NN	314162
placement	0	3.07	1.52	0	27	1.0	98	Noun	NN	170931
proponent	0	3.07	1.54	1	29	0.97	11	Noun	NN	57890
extremity	0	3.07	1.62	0	27	1.0	20	Noun	NN	21334
fable	0	3.07	1.53	0	30	1.0	20	Noun	NN	18300
physics	0	3.07	1.61	0	28	1.0	482	Noun	NN	79305
algorithm	0	3.07	1.63	0	28	1.0	27	Noun	NN	178149
definition	0	3.07	1.69	0	27	1.0	296	Noun	NN	525089
renovation	0	3.07	1.46	0	30	1.0	43	Noun	NN	52622
time	0	3.07	1.46	0	30	1.0	99890	Noun	NN	16433333
abyss	0	3.07	1.7	0	28	1.0	90	Noun	NN	18253
zodiac	0	3.07	1.78	0	28	1.0	31	Noun	NN	10057
abduction	0	3.07	1.47	0	27	1.0	185	Noun	NN	24010
friend	0	3.07	1.41	0	28	1.0	21384	Noun	NN	2652286
exponent	0	3.07	1.52	0	27	1.0	4	Noun	NN	15154
goal	0	3.06	1.48	0	31	1.0	854	Noun	NN	1332778
visibility	0	3.04	1.5	0	28	1.0	61	Noun	NN	75204
cleanup	0	3.04	1.59	0	26	1.0	100	Noun	NN	26106
savior	0	3.04	1.63	1	25	0.96	173	Noun	NN	16939
frontage	0	3.04	1.61	1	24	0.96	10	Noun	NN	14398
bonus	0	3.04	1.48	0	28	1.0	469	Noun	NN	227362
blurb	0	3.04	1.45	1	29	0.97	13	Noun	NN	17606
residency	0	3.04	1.57	0	28	1.0	99	Noun	NN	48004
exhaustion	0	3.04	1.53	0	27	1.0	82	Noun	NN	29267
adrenaline	0	3.04	1.43	0	27	1.0	168	Noun	NN	19572
caffeine	0	4.04	1.51	0	27	1.0	150	Noun	NN	34268
atmosphere	0	3.04	1.45	0	28	1.0	493	Noun	NN	382089
simulation	0	3.03	1.48	0	29	1.0	115	Noun	NN	150176
circulation	0	3.03	1.43	0	30	1.0	185	Noun	NN	100443
slogan	0	3.03	1.43	0	29	1.0	127	Noun	NN	65483
immigration	0	3.03	1.45	0	29	1.0	128	Noun	NN	239594
astronomy	0	3.03	1.5	0	29	1.0	67	Noun	NN	47138
artisan	0	3.03	1.54	0	31	1.0	5	Noun	NN	25139
retirement	0	3.03	1.54	0	30	1.0	431	Noun	NN	222377
adoption	0	3.03	1.45	0	29	1.0	239	Noun	NN	183488
warfare	0	3.03	1.55	0	29	1.0	150	Noun	NN	83666
crime	0	3.03	1.66	0	29	1.0	3633	Noun	NN	831913
example	0	3.03	1.45	0	29	1.0	1527	Noun	NN	3290323
forgery	0	3.03	1.55	1	30	0.97	100	Noun	NN	16217
evaporation	0	3.03	1.45	0	30	1.0	2	Noun	NN	14751
embankment	0	4.07	1.46	1	29	0.97	24	Noun	NN	15968
derby	0	4.07	1.41	0	28	1.0	112	Noun	NN	20239
galley	0	4.07	1.54	0	27	1.0	82	Noun	NN	11859
correction	0	3.0	1.41	0	26	1.0	163	Noun	NN	128033
organization	0	3.0	1.44	0	29	1.0	668	Noun	NN	1121667
replication	0	3.0	1.66	0	27	1.0	11	Noun	NN	32434
subroutine	0	3.0	1.52	0	28	1.0	5	Noun	NN	11804
beneficiary	0	3.0	1.44	0	28	1.0	69	Noun	NN	71871
biotech	0	3.0	1.41	1	27	0.96	16	Noun	NN	16894
oncology	0	3.0	1.56	2	26	0.92	31	Noun	NN	10482
priesthood	0	3.0	1.44	0	25	1.0	39	Noun	NN	30053
producer	0	3.0	1.41	1	25	0.96	636	Noun	NN	351539
finder	0	3.0	1.47	0	28	1.0	85	Noun	NN	17090
prologue	0	3.0	1.44	0	29	1.0	20	Noun	NN	12845
industrialist	0	3.0	1.57	1	27	0.96	26	Noun	NN	11303
bylaw	0	3.0	1.75	2	29	0.93	6	Noun	NN	12187
proton	0	3.0	1.57	0	27	1.0	22	Noun	NN	24208
empire	0	3.0	1.57	0	26	1.0	646	Noun	NN	174103
