Word	Bigram	Conc.M	Conc.SD	Unknown	Total	Percent_known	SUBTLEX	DOM_POS	POS	frequency
communion	0	3.39	1.45	0	28	1.0	106	Noun	NN	64308
cremation	0	3.69	1.47	0	29	1.0	41	Noun	NN	12784
helper	0	3.39	1.42	0	28	1.0	103	Noun	NN	41468
aviation	0	3.39	1.57	0	28	1.0	73	Noun	NN	61168
participant	0	3.38	1.53	0	26	1.0	30	Noun	NN	488781
afternoon	0	3.7	1.49	0	27	1.0	4666	Noun	NN	455536
scenery	0	3.38	1.42	0	26	1.0	193	Noun	NN	78392
sonata	0	3.7	1.44	3	30	0.9	32	Noun	NN	11788
enlargement	0	3.38	1.44	0	24	1.0	21	Noun	NN	20791
flurry	0	3.38	1.59	0	29	1.0	24	Noun	NN	19804
tariff	0	3.38	1.45	0	29	1.0	7	Noun	NN	73812
cousin	0	3.7	1.49	1	28	0.96	2491	Noun	NN	131336
guinea	0	3.7	1.44	3	30	0.9	227	Noun	NN	29578
photon	0	3.38	1.77	1	27	0.96	27	Noun	NN	32776
auditor	0	3.38	1.6	0	26	1.0	24	Noun	NN	46401
duo	0	3.7	1.49	0	30	1.0	77	Noun	NN	56929
asthma	0	3.71	1.44	0	28	1.0	197	Noun	NN	59708
geek	0	3.71	1.49	0	24	1.0	353	Noun	NN	52618
speech	0	3.37	1.69	0	27	1.0	1940	Noun	NN	601825
errand	0	3.37	1.52	1	28	0.96	204	Noun	NN	16469
grader	0	3.37	1.47	0	30	1.0	44	Noun	NN	24053
electrolyte	0	3.37	1.47	0	27	1.0	11	Noun	NN	11643
vigilante	0	3.37	1.43	0	30	1.0	83	Noun	NN	11140
temperature	0	3.71	1.41	0	28	1.0	702	Noun	NN	614841
ignition	0	3.37	1.43	0	30	1.0	212	Noun	NN	42878
combo	0	3.37	1.42	0	27	1.0	125	Noun	NN	41035
respondent	0	3.36	1.64	1	29	0.97	7	Noun	NN	182765
payday	0	3.36	1.57	0	28	1.0	128	Noun	NN	52238
photosynthesis	0	3.36	1.59	0	28	1.0	11	Noun	NN	12556
immigrant	0	3.72	1.57	0	25	1.0	79	Noun	NN	223174
franchisee	0	3.72	1.62	4	29	0.86	1	Noun	NN	11133
patron	0	3.72	1.43	1	26	0.96	158	Noun	NN	82917
widget	0	3.72	1.49	1	30	0.97	10	Noun	NN	61912
prom	0	3.72	1.53	0	29	1.0	906	Noun	NN	19819
species	0	3.36	1.47	0	28	1.0	696	Noun	NN	268939
construction	0	3.72	1.44	0	29	1.0	706	Noun	NN	660520
wavelength	0	3.35	1.55	1	27	0.96	32	Noun	NN	47315
treasurer	0	3.73	1.6	0	30	1.0	57	Noun	NN	27406
correspondence	0	3.35	1.55	0	26	1.0	115	Noun	NN	130654
death	0	3.73	1.48	0	30	1.0	11051	Noun	NN	1768427
striker	0	3.73	1.43	3	29	0.9	108	Noun	NN	94376
environment	0	3.74	1.46	0	27	1.0	652	Noun	NN	1270871
inventory	0	3.74	1.46	1	28	0.96	238	Noun	NN	109338
hardness	0	3.34	1.45	0	29	1.0	13	Noun	NN	17652
atom	0	3.34	1.59	0	29	1.0	140	Noun	NN	107868
notification	0	3.34	1.42	0	29	1.0	31	Noun	NN	105779
sermon	0	3.34	1.49	0	29	1.0	139	Noun	NN	62438
chloride	0	3.74	1.48	1	28	0.96	46	Noun	NN	18767
scope	0	3.74	1.43	0	27	1.0	286	Noun	NN	282212
intake	0	3.34	1.42	0	29	1.0	66	Noun	NN	125514
hydrocarbon	0	3.75	1.48	0	28	1.0	6	Noun	NN	21707
institution	0	3.33	1.49	0	27	1.0	396	Noun	NN	769238
humankind	0	3.33	1.67	0	30	1.0	35	Noun	NN	22594
oxidation	0	3.33	1.45	0	30	1.0	13	Noun	NN	17229
hormone	0	3.33	1.42	0	30	1.0	69	Noun	NN	104901
hometown	0	3.33	1.47	1	28	0.96	199	Noun	NN	37172
tunic	0	3.75	1.62	2	26	0.92	28	Noun	NN	12081
gender	0	3.33	1.47	0	27	1.0	143	Noun	NN	273126
woodland	0	3.76	1.67	0	25	1.0	57	Noun	NN	90535
theologian	0	3.76	1.56	2	27	0.93	14	Noun	NN	38317
roster	0	3.76	1.57	0	29	1.0	110	Noun	NN	47352
firmware	0	3.32	1.47	2	30	0.93	3	Noun	NN	34451
demon	0	3.32	1.66	0	28	1.0	1593	Noun	NN	94207
hydrogen	0	3.32	1.57	0	25	1.0	136	Noun	NN	79458
donation	0	3.32	1.56	0	28	1.0	179	Noun	NN	230019
foreigner	0	3.32	1.55	1	26	0.96	150	Noun	NN	73144
restraint	0	3.32	1.54	0	28	1.0	131	Noun	NN	68890
rotation	0	3.32	1.56	0	28	1.0	149	Noun	NN	91047
inhabitant	0	3.32	1.57	0	25	1.0	8	Noun	NN	112273
incubation	0	3.32	1.6	0	31	1.0	21	Noun	NN	13962
transcription	0	3.32	1.52	0	28	1.0	33	Noun	NN	41943
civilization	0	3.32	1.52	0	28	1.0	425	Noun	NN	136216
segmentation	0	3.32	1.42	1	29	0.97	1	Noun	NN	12890
period	0	3.31	1.51	0	29	1.0	1417	Noun	NN	1861604
suitor	0	3.77	1.45	0	26	1.0	69	Noun	NN	11152
subscriber	0	3.31	1.62	0	26	1.0	21	Noun	NN	95636
advertisement	0	3.77	1.45	0	26	1.0	61	Noun	NN	113433
supernova	0	3.78	1.45	1	28	0.96	20	Noun	NN	15580
cruiser	0	3.78	1.55	0	27	1.0	162	Noun	NN	27959
particle	0	3.78	1.42	0	27	1.0	91	Noun	NN	200016
club	0	3.78	1.45	0	27	1.0	5038	Noun	NN	1024712
provider	0	3.78	1.5	0	27	1.0	74	Noun	NN	562832
astrologer	0	3.78	1.42	1	28	0.96	14	Noun	NN	17790
wearer	0	3.78	1.5	2	29	0.93	27	Noun	NN	15223
employment	0	3.3	1.56	0	27	1.0	272	Noun	NN	529671
snippet	0	3.3	1.41	0	27	1.0	5	Noun	NN	31850
story	0	3.3	1.49	0	27	1.0	11260	Noun	NN	2173180
cartel	0	3.3	1.51	0	27	1.0	65	Noun	NN	29532
foreclosure	0	3.3	1.42	0	30	1.0	26	Noun	NN	42844
number	0	3.3	1.58	0	30	1.0	12288	Noun	NN	4936393
department	0	3.3	1.44	0	27	1.0	3256	Noun	NN	729436
duplication	0	3.3	1.75	0	27	1.0	7	Noun	NN	25901
hunger	0	3.3	1.51	0	27	1.0	300	Noun	NN	95157
fusion	0	3.3	1.51	1	28	0.96	133	Noun	NN	76528
bandwagon	0	3.29	1.49	0	28	1.0	24	Noun	NN	19743
stanza	0	3.29	1.55	4	28	0.86	2	Noun	NN	18609
disciple	0	3.29	1.44	0	28	1.0	52	Noun	NN	107698
successor	0	3.29	1.41	0	28	1.0	85	Noun	NN	94188
epilepsy	0	3.29	1.41	1	29	0.97	53	Noun	NN	29662
finalist	0	3.79	1.42	0	28	1.0	24	Noun	NN	43627
testosterone	0	3.79	1.54	0	29	1.0	83	Noun	NN	23280
voting	0	3.29	1.47	0	31	1.0	241	Noun	NN	162660
reflection	0	3.29	1.51	0	28	1.0	256	Noun	NN	224849
encryption	0	3.29	1.44	1	29	0.97	83	Noun	NN	48543
voyeur	0	3.29	1.43	3	27	0.89	21	Noun	NN	19295
backlog	0	3.29	1.51	1	29	0.97	17	Noun	NN	21197
colonist	0	3.8	1.45	0	30	1.0	3	Noun	NN	18336
